segment_id,timestamp,ema_temporal_speed,ema_spatial_speed,recalculated_rtsm,time_since_last_update
101,5.88,9.641736847419885,8.610277724394498,0.0,300.0
101,51.48,6.110448203953515,5.524481699904789,0.0,36.48
101,63.92,6.017774105244984,5.697368737913283,0.0,5.399999999999999
101,75.24,5.6564661609861595,5.330702152484882,0.0,11.319999999999993
101,97.2,7.2404874231639855,7.064564301077979,0.0,21.960000000000008
101,109.6,7.256415763358731,7.083584674254365,0.0,6.679999999999993
101,130.28,6.093887924901585,5.865436259826158,0.0,20.680000000000007
101,151.2,3.9863938560580303,5.2777858418138806,0.12118035779551982,20.919999999999987
101,165.28,3.590180889341706,5.289694781918315,0.15920018667129868,4.240000000000009
101,177.24,3.9759508651736803,5.391847270152505,0.12218244697413716,3.480000000000018
101,192.6,4.48051831220412,5.655736346640551,0.07376513203522257,11.400000000000006
101,224.36,4.868551223540339,5.404771962163304,0.03653024543007025,25.480000000000018
101,242.04,5.579424894150364,5.836718831345252,0.0,17.67999999999998
101,261.4,5.9884188402587295,6.100415249752167,0.0,15.079999999999984
101,280.56,6.410527263903807,6.315363446531758,0.0,11.04000000000002
101,315.16,7.091387679175835,6.74823605073934,0.0,27.560000000000002
101,327.0,7.478718428242415,7.21205540973418,0.0,11.839999999999975
101,368.52,7.33463079325725,7.288180823615241,0.0,32.51999999999998
101,416.64,8.175807212329701,8.075367953177539,0.0,41.95999999999998
101,432.6,7.30346475009318,6.998883769424796,0.0,10.600000000000023
101,459.72,7.258941649454751,7.125544231919797,0.0,27.120000000000005
101,506.44,6.65781524040468,6.523380166422589,0.0,37.839999999999975
101,542.16,7.013585696892067,6.61164014425446,0.0,30.639999999999986
101,572.92,7.237910105483296,6.7030654994391305,0.0,22.59999999999991
101,589.4,6.7007841701756625,6.164564472686825,0.0,12.399999999999977
101,599.6,6.884850585208937,6.4815205592449034,0.0,1.5600000000000591
101,613.28,6.450243999214103,6.038868732392833,0.0,9.319999999999936
101,642.2,6.705284960579281,6.370680350041869,0.0,28.920000000000073
101,676.96,5.678952522886263,5.5356888694193955,0.0,30.879999999999995
101,699.68,5.669479623790323,5.53197558046386,0.0,15.399999999999977
101,711.8,5.380427046771923,5.216737878395244,0.0,8.279999999999973
101,729.08,6.065301214568441,5.963413534716441,0.0,14.32000000000005
101,753.6,5.510888471513308,5.643184978464782,0.0,14.680000000000064
101,781.72,5.2719295664263655,5.553776691029006,0.0,19.279999999999973
101,808.28,4.788637840940629,5.362503318808553,0.044198578843047516,26.559999999999945
101,831.84,4.063342515819618,4.231325391380858,0.2040597332621725,23.56000000000006
102,11.68,8.227926673213071,7.178450973778687,0.37480981032820754,300.0
102,21.76,8.043622682359839,7.114719257392245,0.3848750894228575,2.080000000000002
102,33.12,8.035528932730841,7.3990681009262955,0.3736646687442483,1.4799999999999969
102,45.08,8.896568485787201,8.530165686169939,0.29282382322666556,3.1199999999999974
102,55.52,9.015865899051967,8.483564465910446,0.28987381461758427,7.600000000000001
102,70.88,8.851807699589301,8.50973770626791,0.295469180751732,15.359999999999992
102,82.96,9.167190216381545,9.069433161785906,0.25995855158102155,2.719999999999999
102,101.64,9.007196832088363,8.693989962177888,0.28168654677343924,9.879999999999995
102,111.92,8.580370735668946,8.17464971608921,0.3200819391679132,1.2399999999999949
102,122.08,8.01962587826309,7.7293539671877305,0.36090702679632275,0.3999999999999915
102,132.2,7.902386435620256,7.723526251551359,0.3659010871646903,0.1599999999999966
102,143.12,7.808735474840625,7.627858262189076,0.3735836426011267,3.719999999999999
102,159.64,8.507287346023434,8.307666723292895,0.31764983536081054,7.399999999999977
102,171.8,8.52025220543223,8.488040806652592,0.30980414878412327,2.4399999999999977
102,192.12,8.947921941600438,8.632381390402548,0.2865919928446843,12.120000000000005
102,204.6,8.355149422023617,8.000844073787714,0.33627443710536736,4.560000000000002
102,215.88,8.05354103964549,7.7833481179352155,0.3573396704206902,1.7199999999999989
102,226.36,8.958889743517755,8.759279227325624,0.28099741072611095,0.9200000000000159
102,237.56,8.425979079146789,8.114239943744751,0.3287985725733727,1.2800000000000011
102,252.12,8.554609345168815,8.316004226473908,0.31539117497912955,5.960000000000008
102,262.2,9.484757933403383,9.454240983618876,0.23145618026317924,2.240000000000009
102,273.84,9.550203222183232,9.596635320178843,0.22302205656682253,2.1199999999999477
