track_id,type,traveled_distance,avg_speed,lat,lon,speed,long_acc,lat_acc,time,segment_id,segment_length,segment_type,num_lanes,lane_index,proportionate_distance_travelled,change_in_euclidean_distance,relative_time_gap,relative_kinematic_ratio,segment_free_flow_speed,relative_ego_speed,is_outlier,is_parked,relative_occupancy_proceeding,raw_density_proceeding,relative_speed_proceeding,raw_speed_proceeding,relative_occupancy_following,raw_density_following,relative_speed_following,raw_speed_following,relative_occupancy_leftwards_proceeding,raw_density_leftwards_proceeding,relative_speed_leftwards_proceeding,raw_speed_leftwards_proceeding,relative_occupancy_leftwards_following,raw_density_leftwards_following,relative_speed_leftwards_following,raw_speed_leftwards_following,relative_occupancy_rightwards_proceeding,raw_density_rightwards_proceeding,relative_speed_rightwards_proceeding,raw_speed_rightwards_proceeding,relative_occupancy_rightwards_following,raw_density_rightwards_following,relative_speed_rightwards_following,raw_speed_rightwards_following
10026,Car,44.9,2.641309166666667,37.988611,23.729076,5.535416666666666,1.4287,-0.3341,896.04,2806,30.89130155518721,secondary,2,1,0.104828253514472,,,,12.946084927429034,0.4275745677319565,False,False,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034
10026,Car,44.9,2.641309166666667,37.988662,23.729104,5.92175,-0.469,-0.8048,897.08,2806,30.89130155518721,secondary,2,1,0.3001657918987466,6.173998820518387,1.0400000000000773,0.4585585032617288,12.946084927429034,0.45741627937674917,False,False,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034
10026,Car,44.9,2.641309166666667,37.98871,23.729121,5.679805555555555,0.0396,-0.7562,898.04,2806,30.89130155518721,secondary,2,1,0.4788129558268232,5.53486155077457,0.9599999999999227,0.44534550903817344,12.946084927429034,0.4387276607093531,False,False,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034
10026,Car,44.9,2.641309166666667,37.988758,23.72913,5.44175,-0.5833,-0.2579,899.0,2806,30.89130155518721,secondary,2,1,0.6530123737584709,5.387818427404294,0.9600000000000364,0.4335141390883654,12.946084927429034,0.4203394331571621,False,False,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034
10026,Car,44.9,2.641309166666667,37.9888,23.729136,4.6146666666666665,-1.0036,-1.0074,899.92,2806,30.89130155518721,secondary,2,1,0.8043944224951578,4.692987199888441,0.9199999999999591,0.39402437663216006,12.946084927429034,0.35645267990552987,False,False,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034,0.0,0,1.0,12.946084927429034
10030,Car,43.15,2.6967675,37.992441,23.73142,4.727416666666667,-0.3302,2.1929,893.0,2379,45.27346555376741,primary,4,2,0.0793366609777761,,,,10.49136351533611,0.4506007879486974,False,False,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.5459940658665385,5.728222222222223,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611
10030,Car,43.15,2.6967675,37.992397,23.731429,5.101805555555555,0.6267,1.5016,894.04,2379,45.27346555376741,primary,4,2,0.1818146999698293,4.948939085609473,1.0399999999999636,0.45357262358401934,10.49136351533611,0.48628622467402033,False,False,0.14,1,0.4768181194855833,5.002472222222222,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611
10030,Car,43.15,2.6967675,37.992351,23.731421,5.414805555555556,0.0071,0.3766,895.0,2379,45.27346555376741,primary,4,2,0.2954976287825886,5.155554844588641,0.9600000000000364,0.5118848109618268,10.49136351533611,0.5161202876671157,False,False,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.3738657139634391,3.922361111111111,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611
10030,Car,43.15,2.6967675,37.992306,23.73141,5.2162500000000005,-0.1762,-0.4117,895.96,2379,45.27346555376741,primary,4,2,0.4079027610468837,5.089008616599505,0.9600000000000364,0.5052775680245908,10.49136351533611,0.4971946680119289,False,False,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.2777787437750806,2.914277777777778,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.39331557434214687,4.126416666666667
10030,Car,43.15,2.6967675,37.992258,23.731402,5.077361111111111,-0.4063,-0.3125,897.0,2379,45.27346555376741,primary,4,2,0.5263976266829516,5.375627455219622,1.0399999999999636,0.4926788158221945,10.49136351533611,0.48395626590281665,False,False,0.14,1,0.1998866334454859,2.0970833333333334,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.39331557434214687,4.126416666666667
10030,Car,43.15,2.6967675,37.992212,23.731398,4.103694444444445,-1.1247,0.1077,898.08,2379,45.27346555376741,primary,4,3,0.638576334304374,5.119486410818054,1.080000000000041,0.4518254646569511,10.49136351533611,0.3911497717570961,False,False,0.14,1,0.11679712644785376,1.2253611111111111,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.511926361878949,5.370805555555556
10030,Car,43.15,2.6967675,37.99218,23.731394,3.111833333333333,-1.006,0.1464,899.08,2379,45.27346555376741,primary,4,3,0.7170715045737922,3.5703211391314653,1.0,0.34031049766909954,10.49136351533611,0.2966090469350818,False,False,0.14,1,0.020140904968803375,0.2113055555555555,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.04666666666666667,1,0.5151432935914632,5.404555555555555
10030,Car,43.15,2.6967675,37.992157,23.73139,1.7757222222222222,-1.4556,0.0111,900.12,2379,45.27346555376741,primary,4,3,0.7739129721066202,2.5777774331517675,1.0399999999999636,0.23625452913133513,10.49136351533611,0.16925561864542196,False,False,0.0,0,1.0,10.49136351533611,0.14,1,0.4441060278739669,4.659277777777778,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611
10030,Car,43.15,2.6967675,37.992147,23.731389,0.6219444444444444,-0.7494,-0.0506,901.12,2379,45.27346555376741,primary,4,3,0.7983486989813869,1.1137773685331311,1.0,0.10616135518562758,10.49136351533611,0.05928156464460466,False,False,0.0,0,1.0,10.49136351533611,0.14,1,0.4441060278739669,4.659277777777778,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.14,3,0.2561851448148373,2.6877314814814817,0.0,0,1.0,10.49136351533611
10030,Car,43.15,2.6967675,37.992144,23.731388,0.0926388888888889,-0.2596,-0.1315,902.16,2379,45.27346555376741,primary,4,3,0.8059426565856014,0.34448667182172116,1.0399999999999636,0.031572367496348494,10.49136351533611,0.008830014206777873,False,False,0.0,0,1.0,10.49136351533611,0.14,1,0.20464186748307903,2.1469722222222223,0.0,0,1.0,10.49136351533611,0.0,0,1.0,10.49136351533611,0.09333333333333334,2,0.19842246617221806,2.081722222222222,0.0,0,1.0,10.49136351533611
